CommitId;RefactoringType;RefactoringDetail
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarX : SeekBar to seekBarX : SeekBar in class com.xxmassdeveloper.mpchartexample.MultiLineChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarY : SeekBar to seekBarY : SeekBar in class com.xxmassdeveloper.mpchartexample.MultiLineChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : LineChart to chart : LineChart in class com.xxmassdeveloper.mpchartexample.MultiLineChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals : ArrayList<Entry> to values : ArrayList<Entry> in method private setData(count int, range float) : void in class com.xxmassdeveloper.mpchartexample.PerformanceLineChart
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mTvCount : TextView to tvCount : TextView in class com.xxmassdeveloper.mpchartexample.PerformanceLineChart
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarValues : SeekBar to seekBarValues : SeekBar in class com.xxmassdeveloper.mpchartexample.PerformanceLineChart
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : LineChart to chart : LineChart in class com.xxmassdeveloper.mpchartexample.PerformanceLineChart
d67ea481af1e8528c617dfd404d0c7827b0134b2;Inline Variable;Inline Variable	mult : float in method private setData(count int, range float) : void from class com.xxmassdeveloper.mpchartexample.PieChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarX : SeekBar to seekBarX : SeekBar in class com.xxmassdeveloper.mpchartexample.PieChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarY : SeekBar to seekBarY : SeekBar in class com.xxmassdeveloper.mpchartexample.PieChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : PieChart to chart : PieChart in class com.xxmassdeveloper.mpchartexample.PieChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarX : SeekBar to seekBarX : SeekBar in class com.xxmassdeveloper.mpchartexample.PiePolylineChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mSeekBarY : SeekBar to seekBarY : SeekBar in class com.xxmassdeveloper.mpchartexample.PiePolylineChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : PieChart to chart : PieChart in class com.xxmassdeveloper.mpchartexample.PiePolylineChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	mult : float to mul : float in method private setData() : void in class com.xxmassdeveloper.mpchartexample.RadarChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : RadarChart to chart : RadarChart in class com.xxmassdeveloper.mpchartexample.RadarChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Attribute;Rename Attribute	mChart : LineChart to chart : LineChart in class com.xxmassdeveloper.mpchartexample.RealtimeLineChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals1 : ArrayList<Entry> to values1 : ArrayList<Entry> in method public onProgressChanged(seekBar SeekBar, progress int, fromUser boolean) : void in class com.xxmassdeveloper.mpchartexample.ScatterChartActivity
d67ea481af1e8528c617dfd404d0c7827b0134b2;Rename Variable;Rename Variable	yVals2 : ArrayList<Entry> to values2 : ArrayList<Entry> in method public onProgressChanged(seekBar SeekBar, progress int, fromUser boolean) : void in class com.xxmassdeveloper.mpchartexample.ScatterChartActivity
