CommitId;RefactoringType;RefactoringDetail
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Attribute Type;Change Attribute Type	value : Object to value : java.util.Optional<Provider<T>> in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProviderProvider
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Parameter Type;Change Parameter Type	bindingSelection : BindingSelection<?> to bindingSelection : BindingSelection<T> in method package JavaOptionalProviderProvider(bindingSelection BindingSelection<T>) in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProviderProvider
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Return Type;Change Return Type	Object to java.util.Optional<Provider<T>> in method protected doProvision(context InternalContext, dependency Dependency<?>) : java.util.Optional<Provider<T>> in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProviderProvider
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Parameter Type;Change Parameter Type	dependency : Dependency to dependency : Dependency<?> in method protected doProvision(context InternalContext, dependency Dependency<?>) : java.util.Optional<Provider<T>> in class com.google.inject.internal.RealOptionalBinder.JavaOptionalProviderProvider
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Attribute Type;Change Attribute Type	javaOptionalOfString : TypeLiteral<?> to javaOptionalOfString : TypeLiteral<java.util.Optional<String>> in class com.google.inject.internal.OptionalBinderTest
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Attribute Type;Change Attribute Type	javaOptionalOfProviderString : TypeLiteral<?> to javaOptionalOfProviderString : TypeLiteral<java.util.Optional<Provider<String>>> in class com.google.inject.internal.OptionalBinderTest
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Attribute Type;Change Attribute Type	javaOptionalOfJavaxProviderString : TypeLiteral<?> to javaOptionalOfJavaxProviderString : TypeLiteral<java.util.Optional<javax.inject.Provider<String>>> in class com.google.inject.internal.OptionalBinderTest
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Attribute Type;Change Attribute Type	javaOptionalOfInteger : TypeLiteral<?> to javaOptionalOfInteger : TypeLiteral<java.util.Optional<Integer>> in class com.google.inject.internal.OptionalBinderTest
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Attribute Type;Change Attribute Type	javaOptionalOfProviderInteger : TypeLiteral<?> to javaOptionalOfProviderInteger : TypeLiteral<java.util.Optional<Provider<Integer>>> in class com.google.inject.internal.OptionalBinderTest
e27d4c0e08b9f427085a2f00df9af9494288192d;Change Attribute Type;Change Attribute Type	javaOptionalOfJavaxProviderInteger : TypeLiteral<?> to javaOptionalOfJavaxProviderInteger : TypeLiteral<java.util.Optional<javax.inject.Provider<Integer>>> in class com.google.inject.internal.OptionalBinderTest
dafa4b0bec4e7ec5e1df75e3fb9a2fdf4920921a;Change Return Type;Change Return Type	List<ProviderLookup<?>> to Set<ProviderLookup<?>> in method public getProviderLookupsThisLevel() : Set<ProviderLookup<?>> in class com.google.inject.internal.InheritingState
dafa4b0bec4e7ec5e1df75e3fb9a2fdf4920921a;Rename Attribute;Rename Attribute	lookups : List<ProviderLookup<?>> to providerLookups : Set<ProviderLookup<?>> in class com.google.inject.internal.InheritingState
